iter	Logloss
0	0.6693915101
1	0.6460871588
2	0.6240135437
3	0.6047611324
4	0.5870656749
5	0.5702074303
6	0.5561094937
7	0.5406237737
8	0.5273010742
9	0.51497145
10	0.5027242512
11	0.4910706472
12	0.4805723913
13	0.4708264495
14	0.4614031369
15	0.4521292421
16	0.4436133398
17	0.4350858366
18	0.4285422896
19	0.4215863372
20	0.4156873868
21	0.4100198615
22	0.4038197069
23	0.3978326527
24	0.3921831384
25	0.3869350207
26	0.3824956885
27	0.3781758139
28	0.3743814965
29	0.3702116317
30	0.3661885022
31	0.362186728
32	0.3582599588
33	0.3549324628
34	0.351823711
35	0.3489933798
36	0.3459530486
37	0.343303663
38	0.3411069548
39	0.3385395067
40	0.336061138
41	0.3341849689
42	0.3321299096
43	0.3298553745
44	0.3277543995
45	0.3258997948
46	0.3242149527
47	0.3223797872
48	0.3207432298
49	0.3188715547
50	0.3171971639
51	0.3157328427
52	0.3141539413
53	0.3128232912
54	0.3114415347
55	0.3101125221
56	0.3087640353
57	0.3073249364
58	0.3062968494
59	0.3050202322
60	0.3035685221
61	0.3022890483
62	0.3012229536
63	0.3002125988
64	0.2993199597
65	0.2981954427
66	0.2974728449
67	0.2960413406
68	0.2953914834
69	0.2942277394
70	0.2933913976
71	0.2919126188
72	0.2911717837
73	0.2903533657
74	0.2894736686
75	0.2882463986
76	0.2874154217
77	0.2866181326
78	0.2856526832
79	0.2846795174
80	0.283614642
81	0.2828025992
82	0.2822107811
83	0.2814519699
84	0.2806445605
85	0.2799090207
86	0.279597818
87	0.2789159975
88	0.2785457629
89	0.2779750389
90	0.2769924843
91	0.2765896767
92	0.2761282551
93	0.2756053628
94	0.2750819655
95	0.2743819947
96	0.2736941124
97	0.2731119443
98	0.2722739128
99	0.2718917812
