iter	Passed	Remaining
0	176	17484
1	202	9907
2	222	7186
3	233	5611
4	239	4555
5	249	3916
6	270	3594
7	278	3205
8	287	2908
9	299	2698
10	314	2547
11	322	2367
12	329	2206
13	337	2072
14	343	1946
15	348	1830
16	356	1739
17	363	1654
18	379	1617
19	388	1552
20	393	1481
21	403	1431
22	411	1376
23	419	1328
24	425	1276
25	431	1228
26	436	1179
27	440	1133
28	447	1095
29	452	1056
30	459	1023
31	464	987
32	470	954
33	478	928
34	485	900
35	492	875
36	496	846
37	502	819
38	506	792
39	512	768
40	521	750
41	527	728
42	535	709
43	539	687
44	550	672
45	560	658
46	566	638
47	571	619
48	577	601
49	583	583
50	590	567
51	596	550
52	603	534
53	608	518
54	613	502
55	618	486
56	625	471
57	630	456
58	636	442
59	641	427
60	647	413
61	653	400
62	659	387
63	668	376
64	675	363
65	680	350
66	687	338
67	696	327
68	704	316
69	712	305
70	717	293
71	722	281
72	731	270
73	740	260
74	746	248
75	751	237
76	765	228
77	773	218
78	782	207
79	788	197
80	799	187
81	805	176
82	815	167
83	830	158
84	841	148
85	850	138
86	859	128
87	871	118
88	880	108
89	887	98
90	892	88
91	897	78
92	903	68
93	909	58
94	916	48
95	923	38
96	930	28
97	936	19
98	948	9
99	954	0
